"REF_DATE","GEO","DGUID","Gender","Type of migrant","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000/2001","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","252527","","","","0"
"2001/2002","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","256405","","","","0"
"2002/2003","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","199170","","","","0"
"2003/2004","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","239101","","","","0"
"2004/2005","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","244599","","","","0"
"2005/2006","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","254381","","","","0"
"2006/2007","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","238127","","","","0"
"2007/2008","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","249632","","","","0"
"2008/2009","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","245313","","","","0"
"2009/2010","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","270635","","","","0"
"2010/2011","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","259143","","","","0"
"2011/2012","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","260043","","","","0"
"2012/2013","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","263115","","","","0"
"2013/2014","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","267936","","","","0"
"2014/2015","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","240775","","","","0"
"2015/2016","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","323188","","","","0"
"2016/2017","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","272694","","","","0"
"2017/2018","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","303369","","","","0"
"2018/2019","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","313603","","","","0"
"2019/2020","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","284153","","","","0"
"2020/2021","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","226314","","","","0"
"2021/2022","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","493236","","","","0"
"2022/2023","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","468913","","","","0"
"2023/2024","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","464344","","","","0"
"2024/2025","Canada","2021A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","435421","","","","0"
"2000/2001","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","888","","","","0"
"2001/2002","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","800","","","","0"
"2002/2003","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","676","","","","0"
"2003/2004","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","738","","","","0"
"2004/2005","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","789","","","","0"
"2005/2006","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","742","","","","0"
"2006/2007","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","727","","","","0"
"2007/2008","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","739","","","","0"
"2008/2009","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","577","","","","0"
"2009/2010","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","754","","","","0"
"2010/2011","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","612","","","","0"
"2011/2012","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","560","","","","0"
"2012/2013","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","568","","","","0"
"2013/2014","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","604","","","","0"
"2014/2015","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","541","","","","0"
"2015/2016","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","1120","","","","0"
