"REF_DATE","GEO","DGUID","Age at time of death","Sex","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.1","","","","1"
"2001","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.1","","","","1"
"2002","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.1","","","","1"
"2003","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.1","","","","1"
"2004","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.1","","","","1"
"2005","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.1","","","","1"
"2006","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.0","","","","1"
"2007","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.2","","","","1"
"2008","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.2","","","","1"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.1","","","","1"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.1","","","","1"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.1","","","","1"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.1","","","","1"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.2","","","","1"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.3","","","","1"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.4","","","","1"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.4","","","","1"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.6","","","","1"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.7","","","","1"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","7.6","","","","1"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","8.1","","","","1"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","8.2","","","","1"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","8.6","","","","1"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222027","1.1.1.2","8.1","","","","1"
"2000","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.4","","","","1"
"2001","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.3","","","","1"
"2002","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.3","","","","1"
"2003","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.3","","","","1"
"2004","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.2","","","","1"
"2005","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.3","","","","1"
"2006","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.1","","","","1"
"2007","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.3","","","","1"
"2008","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.3","","","","1"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.2","","","","1"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.2","","","","1"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.2","","","","1"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.2","","","","1"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.3","","","","1"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.4","","","","1"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.5","","","","1"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.6","","","","1"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.8","","","","1"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.9","","","","1"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","7.8","","","","1"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","8.5","","","","1"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","8.6","","","","1"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","9.0","","","","1"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Males","Mortality rate per 1,000 population","Rates per 1,000 population","267","units","0","v21222029","1.1.2.2","8.5","","","","1"
