"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","30685730","","","","0"
"2001","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","31020855","","","","0"
"2002","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","31359199","","","","0"
"2003","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","31642461","","","","0"
"2004","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","31938807","","","","0"
"2005","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","32242732","","","","0"
"2006","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","32571193","","","","0"
"2007","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","32888886","","","","0"
"2008","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","33247298","","","","0"
"2009","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","33630069","","","","0"
"2010","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","34005902","","","","0"
"2011","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","34339221","","","","0"
"2012","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","34713395","","","","0"
"2013","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","35080992","","","","0"
"2014","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","35434066","","","","0"
"2015","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","35704498","","","","0"
"2016","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","36110803","","","","0"
"2017","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","36545075","","","","0"
"2018","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","37072620","","","","0"
"2019","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","37618495","","","","0"
"2020","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","38028638","","","","0"
"2021","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","38239864","","","","0"
"2022","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","38950132","","","","0"
"2023","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","40049088","","","","0"
"2024","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","41262329","","","","0"
"2025","Canada","2021A000011124","Total - gender","All ages","Persons","249","units","0","v466668","1.1.1","41651653","","","","0"
"2000","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1790699","","","","0"
"2001","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1754444","","","","0"
"2002","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1724179","","","","0"
"2003","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1706799","","","","0"
"2004","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1707164","","","","0"
"2005","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1710759","","","","0"
"2006","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1727885","","","","0"
"2007","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1756251","","","","0"
"2008","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1798257","","","","0"
"2009","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1837724","","","","0"
"2010","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1876494","","","","0"
"2011","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1899982","","","","0"
"2012","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1918726","","","","0"
"2013","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1926496","","","","0"
"2014","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1929371","","","","0"
"2015","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1930005","","","","0"
"2016","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1943799","","","","0"
"2017","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1948684","","","","0"
"2018","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1952216","","","","0"
"2019","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1949121","","","","0"
"2020","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1937161","","","","0"
"2021","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1902883","","","","0"
"2022","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1887192","","","","0"
"2023","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1874658","","","","0"
"2024","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1874025","","","","0"
"2025","Canada","2021A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1871184","","","","0"
"2000","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2036949","","","","0"
"2001","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2016702","","","","0"
"2002","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1988333","","","","0"
"2003","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1947236","","","","0"
"2004","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1904685","","","","0"
"2005","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1864519","","","","0"
"2006","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1824515","","","","0"
"2007","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1801771","","","","0"
"2008","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1790228","","","","0"
"2009","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1791496","","","","0"
"2010","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1790933","","","","0"
"2011","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1809872","","","","0"
"2012","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1846795","","","","0"
"2013","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1892241","","","","0"
"2014","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1930745","","","","0"
"2015","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1969407","","","","0"
"2016","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2004040","","","","0"
"2017","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2026743","","","","0"
"2018","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2043748","","","","0"
"2019","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2056265","","","","0"
"2020","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2067384","","","","0"
"2021","Canada","2021A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2072565","","","","0"
